name,slug,city,state,country,latitude,longitude,website,type,total_enrollment,undergraduate_enrollment,acceptance_rate,average_sat,average_act,tuition_in_state,tuition_out_state,room_and_board,books_supplies,graduation_rate,retention_rate,avg_net_price,percent_receiving_aid,student_faculty_ratio,pcip01,pcip03,pcip04,pcip05,pcip09,pcip10,pcip11,pcip12,pcip13,pcip14,pcip15,pcip16,pcip19,pcip22,pcip23,pcip24,pcip25,pcip26,pcip27,pcip29,pcip30,pcip31,pcip38,pcip39,pcip40,pcip41,pcip42,pcip43,pcip44,pcip45,pcip46,pcip47,pcip48,pcip49,pcip50,pcip51,pcip52,pcip54
Southern New Hampshire University,southern-new-hampshire-university,Manchester,NH,USA,43.038922,-71.451842,https://www.snhu.edu/,Private Non-Profit,156755,156755,96.12,,,16450,16450,12800,1500,44.87,59.89,,59.07,24.0,0.0,1.98,0.0,0.0,2.39,0.0,9.71,0.0,0.27,0.71,0.0,0.0,0.0,0.0,3.07,9.25,0.0,0.09,0.7,0.0,0.0,0.43,0.0,0.0,0.36,0.0,12.02,6.18,2.4,1.8,0.0,0.0,0.0,0.04,3.53,9.25,34.59,1.24
Western Governors University,western-governors-university,Salt Lake City,UT,USA,40.68481,-111.869752,https://www.wgu.edu/,Private Non-Profit,135822,135822,,,,8300,8300,,200,50.89,61.51,,42.61,42.0,0.0,0.0,0.0,0.0,0.0,0.0,19.61,0.0,18.6,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.48,24.23,0.0
Arizona State University Campus Immersion,arizona-state-university-campus-immersion,Tempe,AZ,USA,33.417721,-111.934383,https://www.asu.edu/,Public,64398,64398,90.19,,,12051,32193,16091,1320,67.85,85.32,13670,28.4,18.0,0.02,1.13,1.4,0.43,4.17,0.56,6.39,0.0,4.67,8.39,1.06,0.56,1.01,0.72,1.27,0.47,0.0,7.84,1.2,0.0,3.51,2.13,0.42,0.0,1.09,0.26,5.93,2.4,1.93,5.17,0.0,0.0,0.0,0.61,4.2,6.83,23.61,0.62
Texas A & M University-College Station,texas-a-m-university-college-station,College Station,TX,USA,30.618726,-96.336475,https://www.tamu.edu/,Public,59099,59099,63.25,1272,28,13099,40328,13154,900,83.78,94.25,20924,26.34,19.0,7.6,1.98,1.08,0.04,3.97,0.0,3.86,0.0,2.16,17.54,4.85,0.23,0.0,0.25,0.78,0.0,0.0,8.89,1.24,0.0,6.79,3.62,0.15,0.0,1.5,0.0,4.43,0.3,0.0,5.81,0.0,0.0,0.0,0.39,0.06,6.74,14.75,0.96
University of Central Florida,university-of-central-florida,Orlando,FL,USA,28.602159,-81.200889,https://www.ucf.edu/,Public,59095,59095,39.52,1277,28,6368,22467,12070,1000,75.15,92.16,10650,24.21,29.0,0.0,0.69,0.28,0.05,3.24,0.0,5.22,0.0,3.42,8.33,0.0,0.1,0.0,1.64,2.3,5.1,0.0,5.51,0.67,0.0,5.29,2.06,0.27,0.0,0.59,0.0,9.71,3.4,1.13,4.06,0.0,0.0,0.0,0.0,6.65,13.91,15.42,0.96
Liberty University,liberty-university,Lynchburg,VA,USA,37.350232,-79.18222,https://www.liberty.edu/,Private Non-Profit,50059,50059,99.32,,,21222,21222,12919,1599,63.48,78.79,,49.02,18.0,0.0,0.0,0.0,0.0,2.15,0.0,2.37,0.0,7.34,0.72,0.0,0.16,0.72,3.23,1.6,0.07,0.0,1.24,0.51,0.49,14.92,1.88,5.95,2.28,0.23,0.0,11.12,5.75,2.26,1.72,0.02,0.03,0.0,4.09,3.35,5.42,18.21,2.21
Arizona State University Digital Immersion,arizona-state-university-digital-immersion,Scottsdale,AZ,USA,33.463517,-111.924487,https://www.asu.edu/,Public,49000,49000,64.11,,,,,,,,,,37.15,25.0,0.0,1.0,1.14,0.17,8.77,0.0,3.27,0.0,1.86,3.56,0.44,0.7,3.38,0.51,3.3,3.73,0.0,6.73,0.03,0.0,2.74,0.41,0.92,0.0,0.24,0.92,10.59,2.92,1.48,8.74,0.0,0.0,0.0,0.0,2.53,12.41,15.97,1.55
University of Maryland Global Campus,university-of-maryland-global-campus,Adelphi,MD,USA,38.912706,-76.847584,https://www.umgc.edu/,Public,48238,48238,,,,7992,12336,,0,29.58,52.8,14514,17.57,20.0,0.0,0.73,0.0,0.46,1.41,0.59,28.73,0.0,0.0,0.0,0.0,0.62,0.0,1.09,0.91,21.55,0.0,0.24,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,5.91,3.84,0.63,2.32,0.0,0.0,0.0,0.0,0.0,3.85,23.9,1.32
Ohio State University-Main Campus,ohio-state-university-main-campus,Columbus,OH,USA,39.999803,-83.007525,https://www.osu.edu/,Public,44617,44617,50.82,1407,29,12859,38365,14272,1030,87.73,94.12,18292,30.42,18.0,2.7,1.7,0.95,0.16,4.88,0.0,1.28,0.0,3.2,15.23,0.12,1.28,2.61,0.0,1.07,0.07,0.0,9.27,2.34,0.0,0.46,1.47,0.34,0.0,1.56,0.0,5.34,0.0,2.36,8.23,0.0,0.0,0.0,0.76,2.06,10.18,19.48,0.89
The University of Texas at Austin,the-university-of-texas-at-austin,Austin,TX,USA,30.282825,-97.738273,https://www.utexas.edu/,Public,42100,42100,29.12,1380,30,11678,42778,14136,724,87.64,96.12,19678,27.06,18.0,0.0,0.0,0.37,0.71,8.57,0.0,6.43,0.0,0.03,11.24,0.0,3.39,1.58,0.0,1.9,3.15,0.0,9.06,3.46,0.0,12.83,2.13,0.41,0.0,1.9,0.0,4.03,1.25,0.8,7.08,0.0,0.0,0.0,0.0,3.26,4.61,10.97,0.83
